company,description,industries
"CONSOLIDATED EDISON, INC. (ED)","Con Edison is a holding company that owns electric, gas and steam utilities in New York City and the states of New York, New Jersey and Pennsylvania, as well as competitive energy businesses selling electricity purchased in wholesale markets to retail customers, and electric and gas transmission projects.",utility
ECOLAB INC. (ECL),"Ecolab provides water treatment, cleaning and sanitizing solutions to large industrial customers in the manufacturing, food and beverage, chemical, mining, and power generation industries; specialized cleaners and sanitizers for kitchens and on-premise laundries in the foodservice, lodging, educational and healthcare industries; infection prevention and surgical solutions to hospitals, medical device manufacturers, and pharmaceutical comp",business services
EBAY INC. (EBAY),"eBay operates 3 platform businesses: Marketplace, StubHub and Classifieds. Marketplace is the online marketplace at ebay.com. StubHub is an online platform for fans to sell and purchase tickets to games, concerts and theater shows. Classifieds is a collection of brands such as Mobile.de, Gumtree, and eBay Classifieds offering online classifieds.",internet
ELECTRONIC ARTS INC. (EA),"EA provides digital interactive entertainment. The company develops, markets, publishes and distributes games, content and services that can be played by consumers on a variety of platforms, which include consoles such as the PlayStation from Sony and Xbox from Microsoft, PCs, mobile phones and tablets.",software
DYNEGY INC. (DYN),"Dynegy sells electric energy primarily on a wholesale basis from its power generation coal plants in the Midwest and Massachusetts, and natural gas plants in the Midwest, Northeast and California. The company also serves residential, municipal, commercial and industrial customers in Illinois, Ohio and Pennsylvania.","Acquired.,Bankruptcy.,energy"
DXC TECHNOLOGY COMPANY (DXC),"DXC provides information technology services, which include modernization of legacy enterprise applications, use of cloud infrastructure for enterprise applications, data center management, cyber security, big data and mobility solutions, and managed and virtual desktop solutions.","IT services,software"
DOWDUPONT INC. (DWDP),"DowDuPont is engaged in the manufacture and sale of chemicals, plastic materials, agricultural products and services, and advanced and specialized materials.",materials
DEVON ENERGY CORPORATION (DVN),"Devon is an energy company engaged in the exploration, development and production of oil, natural gas and NGLs. The company operates in onshore areas in the U.S. and Canada.",energy
DAVITA HEALTHCARE PARTNERS INC. (DVA),"The company provides kidney dialysis services in the U.S., as well as integrated healthcare delivery and management services in the Western and Southern states, under contracts with various U.S. health plans.",health care
DUKE ENERGY CORPORATION (DUK),"Duke Energy operates regulated electric and gas utilities in the Carolinas, Florida, Indiana, Ohio, and in Latin America.","energy,utility"
DIRECTV (DTV),"Acquired by AT&T in 2015, DIRECTV provided digital television entertainment in the U.S. and Latin America, delivered via satellite to residential and commercial subscribers.","Acquired.,media,telecommunications"
DTE ENERGY COMPANY (DTE),"DTE Energy operates regulated electrical and gas utilities in Michigan, and is also involved in natural gas pipelines, gathering and storage of natural gas.","energy,utility"
"DARDEN RESTAURANTS, INC. (DRI)","Darden Restaurants is a restaurant company, operating in the U.S. and Canada under the Olive Garden, LongHorn Steakhouse, The Capital Grille, Yard House, Seasons 52, Bahama Breeze, and Eddie V's Prime Seafood and Wildfish Seafood Grille brands.",consumer services
DUKE REALTY CORPORATION (DRE),"Duke Realty is a REIT that owns, manages and develops industrial and medical office real estate.","real estate,REIT"
"DR PEPPER SNAPPLE GROUP, INC. (DPS)","Acquired by Keurig Green Mountain in 2018, Dr Pepper Snapple Group manufactured and distributed branded non-alcoholic beverages in the U.S., Canada and Mexico, including flavored carbonated soft drinks and non-carbonated ready-to-drink teas, juices, juice drinks, water and mixers.","Acquired.,consumer goods"
DOVER CORPORATION (DOV),"Dover is a diversified equipment manufacturer. The company provides polycrystalline diamond cutters, pumps, plunger lifts, compressor components and electronics for the energy exploration and production customers; precision marking and coding, digital textile printing, and soldering and dispensing equipment; automation components such as clamps, conveyors, pick and place units, and manipulators for industrial applications; and pumps and f",manufacturing
"DIAMOND OFFSHORE DRILLING, INC. (DO)","Diamond Offshore provides contract offshore drilling services to the energy industry around the globe with a fleet of semisubmersible offshore rigs, jack-ups, and dynamically positioned drillships.","engineering and construction,energy"
DENBURY RESOURCES INC. (DNR),Denbury Resources is an oil and gas producer focused on the Gulf Coast and Rocky Mountain regions of the U.S.,energy
DUN & BRADSTREET CORPORATION (DNB),"Acquired in 2019, Dun & Bradstreet provided commercial data, analytics and insight on businesses used primarily for risk management decisions and sales and marketing.","Acquired.,business services"
"DOLLAR TREE, INC. (DLTR)","Dollar Tree operates discount variety retail stores under the names of Dollar Tree, Family Dollar, Dollar Tree Canada, Deals and Dollar Tree Deals.",retail
"DIGITAL REALTY TRUST, INC. (DLR)",Digital Realty Trust is a real estate investment trust (REIT) that owns and operates data centers.,"IT services,real estate,REIT"
DELPHI AUTOMOTIVE PLC (DLPH),"Delphi manufactures electrical, powertrain and active safety vehicle components for all of the major automotive original equipment manufacturers in the world.",manufacturing
DISH NETWORK CORPORATION (DISH),"DISH Network offers pay-TV and broadband services under the DISH, Sling, and dishNET brands.",telecommunications
"DISCOVERY COMMUNICATIONS, INC. (DISCA)","The company provides pay-TV, broadcast, and online content under brands such as Discovery Channel, TLC and Animal Planet.",media
